sample_name	    contion	
SRR31231524     relevant
SRR31231525     relevant
SRR31231526     relevant   
SRR31231527     relevant
SRR31231534     relevant   
SRR31231539     relevant
SRR31231546     relevant
SRR31231551     relevant
SRR31231553     relevant
SRR31231555     relevant
SRR31231558     relevant
SRR31231560     relevant
SRR31231567     relevant
SRR31231572     relevant
SRR31231574     relevant
SRR31231578     relevant
